# This  reference  spectrum  was taken on Mar-21 2022-03-21 by
# David.   In principle this is saved in Intensical itself but
# Princeton  Instruments   was unresponsive in retrieving this
# data.  As such the data needs to be hacked out of Lightfield
# itself    by  applying  the  intensity  calibration  on  the
# spectrum of the lamp itself.
# To  see the configuration under which this was done, see the
# file   /Log/Data/Intensical  REF.spe.  To  obtain  the  data
# contained in   this file, that data was resampled to have at
# intervals of 0.1 nm,  and an moving average with a stride of
# 10 was taken.
# The  x-axis  corresponds to wavelength in nm, and the y-axis
# is  the  spectrum  of the Intensical lamp normalized so that
# the  maximum is 1.
4.562e+02,3.30727365e-01
4.563e+02,3.28372274e-01
4.564e+02,3.26056225e-01
4.565e+02,3.23763279e-01
4.566e+02,3.21488661e-01
4.567e+02,3.19246361e-01
4.568e+02,3.17040550e-01
4.569e+02,3.14851513e-01
4.570e+02,3.12690222e-01
4.571e+02,3.10554052e-01
4.572e+02,3.08441824e-01
4.573e+02,3.06331648e-01
4.574e+02,3.04229712e-01
4.575e+02,3.02150850e-01
4.576e+02,3.00108455e-01
4.577e+02,2.98074073e-01
4.578e+02,2.96078011e-01
4.579e+02,2.94107651e-01
4.580e+02,2.92149174e-01
4.581e+02,2.90177816e-01
4.582e+02,2.88226646e-01
4.583e+02,2.86301746e-01
4.584e+02,2.84413657e-01
4.585e+02,2.82593251e-01
4.586e+02,2.80798881e-01
4.587e+02,2.79028120e-01
4.588e+02,2.77289431e-01
4.589e+02,2.75553375e-01
4.590e+02,2.73808036e-01
4.591e+02,2.72059713e-01
4.592e+02,2.70343572e-01
4.593e+02,2.68657056e-01
4.594e+02,2.66980646e-01
4.595e+02,2.65310156e-01
4.596e+02,2.63655316e-01
4.597e+02,2.62028748e-01
4.598e+02,2.60415446e-01
4.599e+02,2.58810431e-01
4.600e+02,2.57228303e-01
4.601e+02,2.55683749e-01
4.602e+02,2.54160297e-01
4.603e+02,2.52648836e-01
4.604e+02,2.51172372e-01
4.605e+02,2.49722184e-01
4.606e+02,2.48290390e-01
4.607e+02,2.46870485e-01
4.608e+02,2.45467578e-01
4.609e+02,2.44050664e-01
4.610e+02,2.42630767e-01
4.611e+02,2.41224986e-01
4.612e+02,2.39816000e-01
4.613e+02,2.38408969e-01
4.614e+02,2.37017851e-01
4.615e+02,2.35673685e-01
4.616e+02,2.34303844e-01
4.617e+02,2.32956894e-01
4.618e+02,2.31639295e-01
4.619e+02,2.30350693e-01
4.620e+02,2.29060425e-01
4.621e+02,2.27791806e-01
4.622e+02,2.26545622e-01
4.623e+02,2.25296935e-01
4.624e+02,2.24025023e-01
4.625e+02,2.22755250e-01
4.626e+02,2.21494119e-01
4.627e+02,2.20217293e-01
4.628e+02,2.18965620e-01
4.629e+02,2.17723392e-01
4.630e+02,2.16481705e-01
4.631e+02,2.15224101e-01
4.632e+02,2.13985828e-01
4.633e+02,2.12730572e-01
4.634e+02,2.11428855e-01
4.635e+02,2.10205123e-01
4.636e+02,2.08973187e-01
4.637e+02,2.07738068e-01
4.638e+02,2.06505598e-01
4.639e+02,2.05305944e-01
4.640e+02,2.04106682e-01
4.641e+02,2.02899098e-01
4.642e+02,2.01669721e-01
4.643e+02,2.00478775e-01
4.644e+02,1.99291312e-01
4.645e+02,1.98095188e-01
4.646e+02,1.96867885e-01
